Displacement (ccm),Power (hp),Torque (Nm),Dry weight (kg),Wheelbase (mm),Seat height (mm),Category_Custom / cruiser,Category_Naked bike,Category_Sport,Category_Touring
1130.0,135.0,117.0,199.0,1419.0,780.0,0,1,0,0
898.0,141.0,100.0,185.0,1419.0,810.0,0,0,1,0
124.8,11.1,9.6,116.0,1250.0,790.0,0,1,0,0
1130.0,160.0,124.0,199.0,1419.0,780.0,0,0,1,0
1131.0,160.0,124.0,199.0,1419.0,810.0,0,0,1,0
1131.0,160.0,124.0,199.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,198.0,1419.0,810.0,0,0,1,0
898.0,134.0,96.0,198.0,1419.0,780.0,0,0,1,0
898.0,140.0,100.0,185.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,195.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,195.0,1419.0,780.0,0,0,1,0
898.0,140.0,100.0,198.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,185.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,195.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,185.0,1419.0,810.0,0,0,1,0
898.0,140.0,100.0,185.0,1419.0,780.0,0,0,1,0
1130.0,140.0,122.0,193.0,1419.0,780.0,0,0,1,0
898.0,141.0,100.0,198.0,1419.0,800.0,0,0,1,0
1131.0,123.0,112.0,215.0,1515.0,840.0,0,1,0,0
899.0,104.0,75.0,215.0,1515.0,840.0,0,1,0,0
1131.0,123.0,115.0,205.0,1514.0,810.0,0,1,0,0
1131.0,123.0,115.0,205.0,1540.0,840.0,0,1,0,0
899.0,106.0,88.0,215.0,1514.0,840.0,0,1,0,0
249.2,24.1,21.0,153.0,1380.0,835.0,0,0,0,1
1868.2,97.0,153.0,317.5,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2184.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2184.0,508.0,1,0,0,0
1638.8,95.0,151.0,318.0,2108.0,483.0,1,0,0,0
1638.8,95.0,151.0,318.0,2108.0,584.0,1,0,0,0
1802.7,115.0,122.0,318.0,2108.0,584.0,1,0,0,0
1819.1,115.0,122.0,318.0,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,597.0,1,0,0,0
1819.1,115.0,166.0,317.5,2108.0,584.0,1,0,0,0
1819.1,115.0,166.0,317.5,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,597.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,385.6,2159.0,648.0,1,0,0,0
1868.2,97.0,153.0,386.5,2159.0,648.0,1,0,0,0
1638.8,95.0,149.0,385.6,2159.0,648.0,1,0,0,0
1638.8,95.0,149.0,385.6,2159.0,648.0,1,0,0,0
1868.2,97.0,153.0,386.5,2159.0,648.0,1,0,0,0
1868.2,97.0,153.0,385.6,2159.0,648.0,1,0,0,0
1638.8,95.0,149.0,294.8,2235.0,584.0,1,0,0,0
1638.8,95.0,149.0,294.8,2235.0,584.0,1,0,0,0
1819.1,115.0,166.0,294.8,2235.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,584.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,318.0,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,319.8,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,318.0,2235.0,508.0,1,0,0,0
1638.8,95.0,151.0,317.5,2083.0,508.0,1,0,0,0
1638.8,95.0,151.0,317.5,2083.0,508.0,1,0,0,0
1819.1,115.0,166.0,319.0,2083.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2083.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,584.0,1,0,0,0
1638.8,95.0,149.0,317.5,2108.0,584.0,1,0,0,0
1819.1,115.0,166.0,319.0,2261.0,508.0,1,0,0,0
1819.1,115.0,166.0,320.0,2261.0,508.0,1,0,0,0
1638.8,95.0,149.0,294.8,1930.0,610.0,1,0,0,0
1638.8,95.0,149.0,294.8,1930.0,610.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2235.0,508.0,1,0,0,0
1868.2,97.0,153.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1819.1,115.0,166.0,317.5,2235.0,508.0,1,0,0,0
1638.8,95.0,149.0,316.6,2184.0,508.0,1,0,0,0
1638.8,95.0,149.0,317.5,2184.0,508.0,1,0,0,0
1638.8,95.0,149.0,316.6,2184.0,508.0,1,0,0,0
